Type,Date,Num,Memo,Name,Item,Qty,U_M,Sales_Price,Amount,Balance
Credit Memo,2/14/2022,16819.0,Credit wire fee from 2/14/2022 payment (applied to #16800),Company  I,CREDIT,-1.0,,10.0,-10.0,13690.0
Credit Memo,3/28/2023,17378.0,Credit wire fee from 3/28/2023 payment (applied to #17372),Company  I,CREDIT,-1.0,,10.0,-10.0,33201.0
Credit Memo,6/18/2024,17905.0,Credit wire fee from 6/21/24 payment (applied to #17892),Company  I,CREDIT,-1.0,,20.0,-20.0,46481.0
Credit Memo,12/30/2023,17749.0,ADJUST JE 12/31/2020,DN PRINTER SOLUTIONS,CREDIT,-1.0,,150.0,-150.0,23030.0
Credit Memo,4/19/2021,16308.0,Credit freight charges from Freedom Star (Inv #16069 & 16070) Waterlink,Dynamic Business Equipment,CREDIT,-1.0,,5400.0,-5400.0,5255.0
Credit Memo,8/5/2021,16468.0,Credit wire fee from Waterlink payment 8/5/2021 (applied to #16376),Dynamic Business Equipment,CREDIT,-1.0,,10.0,-10.0,15085.0
Credit Memo,11/3/2021,16622.0,Credit wire fee from Waterlink payment (applied to #16506),Dynamic Business Equipment,CREDIT,-1.0,,10.0,-10.0,26225.0
Credit Memo,11/3/2021,16623.0,Credit freight charges for Waterlink plus $100 B/L adjustment (apply to #16506),Dynamic Business Equipment,CREDIT,-1.0,,3475.0,-3475.0,22750.0
Credit Memo,11/3/2021,16625.0,Credit adjustment for issues with shipments of Inv #15871 & 14899 (applied to JE to new QB),Dynamic Business Equipment,CREDIT,-1.0,,2044.07,-2044.07,20705.93
Credit Memo,11/3/2021,16626.0,Credit Inv #16083 & #16376 for damaged machines,Dynamic Business Equipment,CREDIT,-1.0,,1030.0,-1030.0,19675.93
Credit Memo,2/3/2022,16794.0,Credit wire fee from (Waterlink) payment - applied to #16699,Dynamic Business Equipment,CREDIT,-1.0,,10.0,-10.0,29255.93
Credit Memo,9/13/2022,17120.0,Credit wire fee from 9/13/2022 payment (Waterlink) - applied to #16983,Dynamic Business Equipment,CREDIT,-1.0,,60.0,-60.0,52395.93
Credit Memo,9/30/2022,17151.0,Credit TBC Invoice #17150  with credit issued by E-Cyling on Inv #90922,e-Cycling Dominicano   C,CREDIT,-1.0,,3000.0,-3000.0,0.0
Credit Memo,8/24/2022,17085.0,Credit for machine deficiencies (Inv #17030),Edge Business Systems,CREDIT,-1.0,,1200.0,-1200.0,22483.82
Credit Memo,5/6/2024,17856.0,Electro-cycle Invoice #30 against TBC Inv #17853,Electro-cycle LLC,CREDIT,-1.0,,375.0,-375.0,4375.0
Credit Memo,10/9/2020,16028.0,Credit wire fees from 10/9/2020 payment (applied to #15954),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,15070.0
Credit Memo,10/20/2020,16021.0,Credit wire fee from 10/20/2020 payment (applied to #16001),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,15055.0
Credit Memo,11/2/2020,16047.0,Credit wire fee from 11/2/20 payment (applied to #16001),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,80585.0
Credit Memo,11/3/2020,16054.0,Credit wire fee from 11/3/2020 payment (applied to #16042),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,80570.0
Credit Memo,11/10/2020,16077.0,Credit wire fee from 11/10/2020 payment (applied to #16042),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,135430.0
Credit Memo,11/23/2020,16099.0,Credit wire fees from 11/23/2020 payment (applied to #16096),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,193115.0
Credit Memo,12/4/2020,16120.0,Credit for error in pricing for C1100 on Inv #15856 (applied to #16096),FCS - Foshan City State Essence,CREDIT,-1.0,,1000.0,-1000.0,192115.0
Credit Memo,12/9/2020,16127.0,Credit wire fees from 12/9/2020 payment (applied to #16126),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,192100.0
Credit Memo,12/16/2020,16135.0,Credit wire fee from 12/16/2020 payment (applied to #16130),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,233565.0
Credit Memo,12/21/2020,16140.0,Credit wire fees from 12/21/2020 payment (applied to #16130),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,281080.0
Credit Memo,12/30/2020,16151.0,Credit wire fee from 12/30/2020 payment,FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,382745.0
Credit Memo,1/12/2021,16173.0,Credit wire fee from 1/11/21 payment (applied to #16162),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,430765.0
Credit Memo,1/15/2021,16181.0,Credit wire fee from 1/15/21 payment (applied to #16178),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,482995.0
Credit Memo,1/19/2021,16191.0,Credit wire fee from 1/19/2021 payment (applied to #16178),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,482980.0
Credit Memo,1/29/2021,16208.0,Credit wire fee from 1/29/2021 payment (applied to #16202),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,514605.0
Credit Memo,2/3/2021,16223.0,Credit wire fee from 2/3/2021 payment (applied to #16215),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,582070.0
Credit Memo,2/22/2021,16235.0,Credit wire fee from 2/22/21 payment (applied to #16232),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,648905.0
Credit Memo,3/2/2021,16243.0,Credit wire fee from 3/2/2021 payment (applied to #16232),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,696285.0
Credit Memo,3/12/2021,16254.0,Credit wire fee from 3/12/2021 payment (applied to #16251),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,758050.0
Credit Memo,3/19/2021,16264.0,Credit wire fee from 3/19/21 payment (applied to #16251),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,758035.0
Credit Memo,3/19/2021,16267.0,Credit price difference from Inv #16126 (applied to Inv #16275),FCS - Foshan City State Essence,CREDIT,-1.0,,500.0,-500.0,757535.0
Credit Memo,3/26/2021,16281.0,Credit wire fee from 3/26/21 payment (applied to #16275),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,757520.0
Credit Memo,4/2/2021,16287.0,Credit wire fees from 4/2/2021 payment (applied to #16284),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,875150.0
Credit Memo,4/12/2021,16299.0,Credit wire fees from 4/12/21 payment (applied to #16284),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,875135.0
Credit Memo,4/16/2021,16304.0,Credit wire fee from 4/16/2021 payment (applied to #16284),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,875120.0
Credit Memo,4/23/2021,16315.0,Credit wire fees from 4/23/2021 payment (applied to #16314),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,875105.0
Credit Memo,5/6/2021,16327.0,Credit wire fee from 5/6/21 payment (applied to #16321),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,950395.0
Credit Memo,5/13/2021,16340.0,Credit wire fee from 5/13/2021 payment (applied to #16321),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1010085.0
Credit Memo,5/13/2021,16341.0,Credit missing parts for KIP 3000 on #16162 (applied to #16321),FCS - Foshan City State Essence,CREDIT,-1.0,,600.0,-600.0,1009485.0
Credit Memo,6/7/2021,16371.0,Credit wire fees from 6/7/2021 payment (applied to #16367),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1049825.0
Credit Memo,6/14/2021,16380.0,Credit 9110 LCT (#16251) applied to #16367,FCS - Foshan City State Essence,CREDIT,-1.0,,700.0,-700.0,1049125.0
Credit Memo,6/18/2021,16389.0,Credit wire fees from 6/18/2021 payment (applied to #16387),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1054440.0
Credit Memo,7/7/2021,16421.0,Credit wire fee from 7/7/2021 payment (applied to #16417),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1251110.0
Credit Memo,7/12/2021,16426.0,Credit wire fee from 7/12/2021 payment (applied to #16417),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1251095.0
Credit Memo,7/14/2021,16428.0,Credit wire fee from 7/14/21 payment (applied to #16438),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1251080.0
Credit Memo,8/12/2021,16482.0,Credit wire fee from 8/12/2021 payment (applied to #16478),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1294130.0
Credit Memo,8/20/2021,16494.0,Credit wire fees from 8/20/2021 payment (applied to #16490),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1341170.0
Credit Memo,9/3/2021,16515.0,Credit wire fees from 2 wires received 9/3/2021 (applied to #16511),FCS - Foshan City State Essence,CREDIT,-1.0,,30.0,-30.0,1389035.0
Credit Memo,9/7/2021,16517.0,Credit wire fees from 9/7/2021 payment (applied to #16511),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1389020.0
Credit Memo,9/16/2021,16542.0,Credit wire fees from 9/16/2021 payment (applied to #16536),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1433880.0
Credit Memo,9/24/2021,16549.0,Credit wire fees from 9/24/21 payment (applied to #16536),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1433865.0
Credit Memo,9/29/2021,16551.0,Credit wire fees from 9/29/2021 payment (applied to #16536),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1519270.0
Credit Memo,10/8/2021,16572.0,Credit wire fees from 2 wires received 10/8/2021 (applied to #16564),FCS - Foshan City State Essence,CREDIT,-1.0,,30.0,-30.0,1519240.0
Credit Memo,10/20/2021,16595.0,Credit wire fees from 2 wire payments on 10/20/2021 (applied to #16593),FCS - Foshan City State Essence,CREDIT,-1.0,,30.0,-30.0,1602580.0
Credit Memo,11/4/2021,16628.0,Credit wire fees from 11/4/2021 payment (applied to #16616),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1727555.0
Credit Memo,11/8/2021,16637.0,Credit wire fee from 11/8/2021 payment (applied to #16633),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1727540.0
Credit Memo,11/19/2021,16655.0,Credit wire fees from 1/19/2021 payment (applied to #16633),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1778895.0
Credit Memo,2/11/2022,16811.0,Credit wire fees from 2/11/2022 payment (applied to #16803),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1778880.0
Credit Memo,2/16/2022,16824.0,Credit machines shorted on Inv #16616 (duplicated s/n) applied to #16803,FCS - Foshan City State Essence,CREDIT,-1.0,,2120.0,-2120.0,1776760.0
Credit Memo,3/16/2022,16866.0,Credit wire fees from 3/16/2022 payment (applied to #16805),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1817840.0
Credit Memo,3/24/2022,16879.0,Credit wire fees from 3/24/2022 payment (applied to #16875),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1872200.0
Credit Memo,3/31/2022,16890.0,Credit wire fees from 3/31/2022 (applied to #16875),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1872185.0
Credit Memo,4/6/2022,16904.0,Credit wire fees from 4/6/22 payment (applied to #16899),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1937730.0
Credit Memo,4/13/2022,16916.0,Credit wire fees from 4/13/22 payment (applied to #16911),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1991305.0
Credit Memo,5/9/2022,16944.0,Credit wire fees from 5/9/2022 payment (applied to #16911),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,1991290.0
Credit Memo,9/1/2022,17104.0,Credit wire fee from 8/31/2022 payment (applied to #17098),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2021510.5
Credit Memo,9/9/2022,17114.0,Credit wire fee from 9/9/2022 payment (applied to #17098),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2027513.0
Credit Memo,9/9/2022,17115.0,"Credit for 2 BHC364, 1 BHC654 missing on #16899 (credit net difference for received 284, 654) ap...",FCS - Foshan City State Essence,CREDIT,-1.0,,1100.0,-1100.0,2026413.0
Credit Memo,9/13/2022,17121.0,Credit wire fees from 9/13/2022 payment (applied to #17112),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2026405.5
Credit Memo,9/28/2022,17145.0,Credit wire fee from 9/28/2022 payment,FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2064996.0
Credit Memo,11/7/2022,17195.0,Credit wire fee from 11/7/2022 payment (applied to #17192),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2064988.5
Credit Memo,11/28/2022,17211.0,Credit wire fee from 11/28/2022 (applied to #17192),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2113421.0
Credit Memo,12/20/2022,17239.0,Credit wire fees from 12/20/2022 payment (applied to #17231),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2153098.5
Credit Memo,12/22/2022,17244.0,Credit wire fees from 12/22/2022 payment (applied to #17231),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2153091.0
Credit Memo,2/7/2023,17296.0,Credit wire fee from 2/7/2023 payment (appied to #17294),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2197763.5
Credit Memo,2/22/2023,17321.0,Credit wire fee from 2/22/2023 payment (applied to #17320),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2241156.0
Credit Memo,3/8/2023,17347.0,Credit wire fees from 3/8/2023 payment (applied to #17320),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2241148.5
Credit Memo,3/23/2023,17368.0,Credit wire fees from 3/23/2023 payment (applied to #17365),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2288341.0
Credit Memo,3/31/2023,17380.0,Credit wire fee from 3/31/2023 payment (applied to #17365),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2288333.5
Credit Memo,4/17/2023,17399.0,Credit wire fees from 4/17/2023 (applied to #17397),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2332376.0
Credit Memo,4/26/2023,17405.0,Credit wire fee from 4/26/2023 payment (applied to #17397),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2332368.5
Credit Memo,5/15/2023,17438.0,Credit wire fee from 5/15/2023 payment (applied to #17416),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2408661.0
Credit Memo,6/9/2023,17476.0,Credit wire fees from 6/9/2023 payment (applied to #17472),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2448260.5
Credit Memo,6/20/2023,17496.0,Credit wire fee from 6/20/2023 payment (applied to #17494),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2448253.0
Credit Memo,6/30/2023,17511.0,Credit wire fee from 6/30/2023 payment (applied to #17494),FCS - Foshan City State Essence,CREDIT,-1.0,,7.5,-7.5,2496470.5
Credit Memo,12/19/2023,17729.0,Credit short 1 MP7503/extra C754e from #17397 - apply difference to balance open on Inv #17494,FCS - Foshan City State Essence,CREDIT,-1.0,,800.0,-800.0,2495670.5
Credit Memo,12/4/2020,16118.0,Credit wire fees from 12/3/2020 payment 9applied to #16111),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,-15.0
Credit Memo,12/31/2020,16152.0,Credit wire fees from 12/31/2020 payment (applied to #16111),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,28825.0
Credit Memo,4/21/2021,16311.0,Credit wire fee from 4/21/21 payment (applied to #16306),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,28810.0
Credit Memo,5/7/2021,16328.0,Credit wire fee from 5/7/2021 payment (applied to #16306),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,96300.0
Credit Memo,5/13/2021,16339.0,Credit wire fee from 5/13/2021 payment (applied to #16329),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,96285.0
Credit Memo,5/25/2021,16354.0,Credit wire fee from 5/26/2021 payment (applied to #16329),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,162300.0
Credit Memo,6/7/2021,16370.0,Credit wire fees from 6/7/2021 payment (applied to #16356),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,224015.0
Credit Memo,6/18/2021,16388.0,Credit wire fee from 6/18/2021 payment (applied to #16356),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,224000.0
Credit Memo,7/6/2021,16418.0,Credit wire fees from 7/6/2021 payment (applied to #16413),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,331670.0
Credit Memo,7/22/2021,16447.0,Credit wire fees from 7/22/2021 payment (applied to #16435),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,331655.0
Credit Memo,8/13/2021,16481.0,Credit wire fee from 8/13/2021 payment (applied to #16435),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,400720.0
Credit Memo,9/7/2021,16516.0,Credit wire fees from 9/7/2021 payment (applied to #16505),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,400705.0
Credit Memo,9/17/2021,16541.0,Credit wire fees  from 9/17/2021 payment (applied to #16505),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,495585.0
Credit Memo,10/18/2021,16587.0,Credit wire fees from 10/18/2021 payment (applied to #16585),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,495570.0
Credit Memo,10/18/2021,16588.0,Credit for missing LCT's and other issues on Inv #16329 & #16356 applied to #16585),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,2500.0,-2500.0,493070.0
Credit Memo,12/17/2021,16696.0,Credit wire fees from 12/17/2021 payment (applied to #16585),Foshan Cyber Fire Science & Technology Co,CREDIT,-1.0,,15.0,-15.0,567995.0
Credit Memo,11/30/2020,16109.0,Credit wire fees from 11/30/20 payment (applied to #16069),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,22.0,-22.0,21323.0
Credit Memo,12/23/2020,16146.0,Credit wire fees from 12/23/2020 payment (applied to #16069),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,62.87,-62.87,21260.13
Credit Memo,12/22/2022,17245.0,Credit wire fees from 12/22/2022 payment (applied to #17228),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,39.29,-39.29,42600.84
Credit Memo,12/22/2022,17246.0,Credit remaining balance to wire fees (applied to #17053),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,275.59,-275.59,42325.25
Credit Memo,1/26/2023,17286.0,Credit wire fees from 1/26/2023 payment (applied to #17228),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,39.29,-39.29,96230.96
Credit Memo,2/8/2023,17298.0,Credit wire fee from 2/8/2023 payment (applied to #17275),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,39.29,-39.29,125656.67
Credit Memo,2/24/2023,17325.0,Credit wire fees from 2/24/2023 payment (applied to #17275),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,39.29,-39.29,125617.38
Credit Memo,4/13/2023,17396.0,Credit wire fee from 4/13/2023 payment (applied to #17275),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,39.29,-39.29,125578.09
Credit Memo,7/12/2023,17522.0,Credit discrepancies on Inv #17452 (applied to #17452),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,2577.83,-2577.83,137365.26
Credit Memo,10/16/2023,17665.0,Credit wire fee from 10/16/2023 payment (applied to #17651),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,14.7,-14.7,161345.56
Credit Memo,1/4/2024,17775.0,Credit wire fee from 1/4/2024 payment (applied to #17735),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,96.43,-96.43,199399.13
Credit Memo,2/5/2024,17776.0,Credit issues from #17735 (applied to #17735),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,3000.0,-3000.0,213129.13
Credit Memo,3/8/2024,17799.0,Credit wire fees from 3/8/2024 payment (applied to #17735),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,96.43,-96.43,213032.7
Credit Memo,5/3/2024,17852.0,Credit wire fee from 5/3/2024 payment (applied to #17843),Freedom Star General Trading Co. LLC,CREDIT,-1.0,,86.43,-86.43,220256.27
Credit Memo,5/11/2021,16332.0,"Credit for claims on Inv #15761 ($480), #15894 ($325), #16046 ($125), #16104 ($300), 16301 ($50)...",Global Copier Resource Pte Ltd,CREDIT,-1.0,,1280.0,-1280.0,106705.0
Credit Memo,10/21/2021,16607.0,MPC4503.......reference to invoice 16461,Global Copier Resource Pte Ltd,RICOH,-13.0,,50.0,-650.0,282295.0
Credit Memo,10/21/2021,16607.0,,Global Copier Resource Pte Ltd,CANON,-1.0,,1.0,-1.0,282294.0
Credit Memo,10/21/2021,16607.0,,Global Copier Resource Pte Ltd,TOSHIBA,-1.0,,1.0,-1.0,282293.0
Credit Memo,10/21/2021,16607.0,,Global Copier Resource Pte Ltd,RISO,-1.0,,1.0,-1.0,282292.0
Credit Memo,10/21/2021,16607.0,,Global Copier Resource Pte Ltd,CANON,-1.0,,1.0,-1.0,282291.0
Credit Memo,10/21/2021,16607.0,,Global Copier Resource Pte Ltd,CANON,-1.0,,341.0,-341.0,281950.0
Credit Memo,10/21/2021,16607.0,price adjustments and credit for damage on invoice 16403,Global Copier Resource Pte Ltd,ADJUSTMENT,-1.0,,600.0,-600.0,281350.0
Credit Memo,10/21/2021,16607.0,credit for damages to invoice #16330...refer to email of October 25,Global Copier Resource Pte Ltd,CREDIT,-1.0,,1400.0,-1400.0,279950.0
Credit Memo,10/21/2021,16607.0,credit for missing and damaged copiers on #16301 refer to email of October 25,Global Copier Resource Pte Ltd,CREDIT,-1.0,,1025.0,-1025.0,278925.0
